Habitat Component,Total Area (ha),Percentage (%),Region,Designation
Depth Zone 0,87.914,0.247,NCSR,Within MPAs
Depth Zone 2,12161.025,34.147,NCSR,Within MPAs
Depth Zone 4,19857.735,55.759,NCSR,Within MPAs
Depth Zone 6,2368.539,6.651,NCSR,Within MPAs
Depth Zone 8,557.421,1.565,NCSR,Within MPAs
Depth Zone 0,1069.136,2.689,NCCSR,Within MPAs
Depth Zone 2,7907.453,19.891,NCCSR,Within MPAs
Depth Zone 4,29667.237,74.627,NCCSR,Within MPAs
Depth Zone 6,760.81,1.914,NCCSR,Within MPAs
Depth Zone 0,856.379,1.599,CCSR,Within MPAs
Depth Zone 2,17904.95,33.44,CCSR,Within MPAs
Depth Zone 4,21221.808,39.634,CCSR,Within MPAs
Depth Zone 6,5414.172,10.112,CCSR,Within MPAs
Depth Zone 8,6868.71,12.828,CCSR,Within MPAs
Depth Zone 0,208.615,0.158,SCSR,Within MPAs
Depth Zone 2,15256.216,11.537,SCSR,Within MPAs
Depth Zone 4,43932.574,33.222,SCSR,Within MPAs
Depth Zone 6,13446.842,10.168,SCSR,Within MPAs
Depth Zone 8,39919.215,30.187,SCSR,Within MPAs
Depth Zone 0,762.83,0.286,NCSR,In All State Waters
Depth Zone 2,106427.989,39.959,NCSR,In All State Waters
Depth Zone 4,128698.564,48.32,NCSR,In All State Waters
Depth Zone 6,15149.665,5.688,NCSR,In All State Waters
Depth Zone 8,1973.648,0.741,NCSR,In All State Waters
Depth Zone 0,6786.424,3.437,NCCSR,In All State Waters
Depth Zone 2,71552.327,36.236,NCCSR,In All State Waters
Depth Zone 4,116367.068,58.932,NCCSR,In All State Waters
Depth Zone 6,1278.054,0.647,NCCSR,In All State Waters
Depth Zone 0,895.436,0.302,CCSR,In All State Waters
Depth Zone 2,91588.231,30.847,CCSR,In All State Waters
Depth Zone 4,147494.475,49.676,CCSR,In All State Waters
Depth Zone 6,21283.485,7.168,CCSR,In All State Waters
Depth Zone 8,32860.723,11.067,CCSR,In All State Waters
Depth Zone 0,7886.496,1.122,SCSR,In All State Waters
Depth Zone 2,164206.879,23.365,SCSR,In All State Waters
Depth Zone 4,245827.581,34.978,SCSR,In All State Waters
Depth Zone 6,65855.547,9.37,SCSR,In All State Waters
Depth Zone 8,113442.855,16.142,SCSR,In All State Waters
Coarse Unconsolidated Substrate,415.599,1.167,NCSR,Within MPAs
Fine Unconsolidated Substrate,17543.79,49.262,NCSR,Within MPAs
Rock Substrate,4700.854,13.2,NCSR,Within MPAs
Unconsolidated Mineral Substrate,12416.291,34.864,NCSR,Within MPAs
Anthropogenic Substrate,0.28,0.001,NCCSR,Within MPAs
Biogenic Substrate,0.024,0,NCCSR,Within MPAs
Coarse Unconsolidated Substrate,2409.599,6.061,NCCSR,Within MPAs
Fine Unconsolidated Substrate,14559.915,36.625,NCCSR,Within MPAs
Rock Substrate,8035.662,20.213,NCCSR,Within MPAs
Unconsolidated Mineral Substrate,14412.004,36.253,NCCSR,Within MPAs
Anthropogenic Substrate,1.105,0.002,CCSR,Within MPAs
Coarse Unconsolidated Substrate,1387.925,2.592,CCSR,Within MPAs
Fine Unconsolidated Substrate,11207.536,20.931,CCSR,Within MPAs
Rock Substrate,9309.31,17.386,CCSR,Within MPAs
